stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
RG135,RG135,,,-53.810718,-67.666329,,,0,,,0
RG212,RG212,,,-53.804513,-67.667504,,,0,,,0
RG329,RG329,,,-53.792707,-67.719432,,,0,,,0
RG336,RG336,,,-53.796155,-67.726818,,,0,,,0
RG364,RG364,,,-53.791513,-67.691231,,,0,,,0
RG410,RG410,,,-53.74716,-67.745202,,,0,,,0
RG101,RG101,,,-53.786708,-67.766451,,,0,,,0
RG234,RG234,,,-53.774112,-67.707753,,,0,,,0
RG260,RG260,,,-53.782867,-67.707753,,,0,,,0
RG033,RG033,,,-53.787837,-67.69755,,,0,,,0
RG122,RG122,,,-53.792581,-67.689402,,,0,,,0
RG355,RG355,,,-53.792422,-67.711079,,,0,,,0
RG134,RG134,,,-53.809686,-67.671458,,,0,,,0
RG206,RG206,,,-53.801452,-67.659441,,,0,,,0
RG003,RG003,,,-53.802175,-67.662107,,,0,,,0
RG039,RG039,,,-53.782835,-67.707431,,,0,,,0
RG141,RG141,,,-53.806432,-67.659001,,,0,,,0
RG016,RG016,,,-53.810915,-67.664645,,,0,,,0
RG133,RG133,,,-53.81151,-67.672648,,,0,,,0
RG200,RG200,,,-53.804389,-67.662435,,,0,,,0
RG220,RG220,,,-53.796836,-67.684761,,,0,,,0
RG239,RG239,,,-53.769686,-67.71933,,,0,,,0
RG337,RG337,,,-53.797593,-67.724211,,,0,,,0
RG012,RG012,,,-53.806483,-67.658738,,,0,,,0
RG109,RG109,,,-53.787754,-67.73759,,,0,,,0
RG306,RG306,,,-53.766338,-67.731324,,,0,,,0
RG037,RG037,,,-53.785035,-67.700897,,,0,,,0
RG129,RG129,,,-53.815767,-67.675395,,,0,,,0
RG210,RG210,,,-53.803756,-67.665347,,,0,,,0
RG340,RG340,,,-53.794951,-67.72014,,,0,,,0
RG046,RG046,,,-53.78674,-67.725011,,,0,,,0
RG246,RG246,,,-53.76115,-67.726287,,,0,,,0
RG325,RG325,,,-53.794501,-67.709073,,,0,,,0
RG371,RG371,,,-53.773814,-67.725134,,,0,,,0
RG380,RG380,,,-53.769065,-67.735954,,,0,,,0
RG021,RG021,,,-53.813217,-67.674724,,,0,,,0
